obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
89,5280.9,0.005395778,13.32033272,87.5661,25.15244799,2.525865797,8.793586099,0.375126429,2.396709328,0.345296758,0.218292543,237.7246344,28.09727445,28.1564,3.829577367,60.47741023,1.521291268,1499.99,1264.49166,87.5661,99.9797,22.9858,18.2412,999.995,28.0989,28.1564,100
90,5340.9,0.00538467,13.40182257,87.4804,26.28661087,2.639764998,8.784993208,0.385673751,2.398718859,0.354242429,0.224011647,237.7260052,28.12475753,28.1277,3.823182165,61.3162857,1.479604135,1500,1264.500216,87.4804,99.9665,23.3372,18.6039,999.959,28.1229,28.1277,100
91,5400.9,0.005515944,13.46541283,87.4718,27.43116301,2.754632068,8.783901186,0.395882834,2.403847853,0.362905983,0.229549729,237.726,28.05740013,28.0846,3.813595723,61.15959731,1.479598424,1500,1264.5,87.4718,100.025,23.2424,18.3934,999.993,28.0965,28.0846,100
92,5460.9,0.005566315,13.44498524,87.4086,26.81336832,2.69241078,8.776959839,0.391424114,2.400868166,0.359116978,0.227128152,237.72612,28.05052464,28.1075,3.818686601,60.49364569,1.508906422,1500,1264.500477,87.4086,99.9466,23.0028,18.1085,1000.03,28.1054,28.1075,100
93,5520.9,0.005561387,13.49770442,87.377,26.16674809,2.627399486,8.77351225,0.388722713,2.400929441,0.356841271,0.225671915,237.7258904,28.12196655,28.2117,3.841926148,60.64725267,1.516835453,1500,1264.499955,87.377,99.9619,23.156,18.2668,1000.03,28.1753,28.2117,100
95,5643.4,0.005469557,13.38607234,87.6079,26.11634745,2.622195125,8.796215043,0.383305953,2.401021397,0.352269951,0.222747393,237.7246344,28.30673993,28.4067,3.885748317,61.39971023,1.51033179,1499.99,1264.49166,87.6079,100.086,23.6585,18.8526,1000.05,28.3314,28.4067,100
96,5703.4,0.005294845,13.41204778,87.4816,23.80212323,2.389952199,8.783957646,0.369434359,2.403389768,0.340539419,0.215244589,237.7260626,28.49767312,28.5893,3.927178493,61.93718619,1.511895384,1500,1264.500347,87.4816,99.9687,24.0544,19.4039,1000.05,28.4678,28.5893,100
97,5763.4,0.005256123,13.46892644,87.4625,23.16096496,2.32573954,8.782664924,0.367112089,2.404077012,0.338571724,0.213986364,237.7245248,28.59772681,28.6794,3.947762883,62.21201279,1.509332597,1499.99,1264.491615,87.4625,99.9979,24.2832,19.6677,1000.03,28.5558,28.6794,100
98,5823.5,0.005379774,13.43315544,87.4593,25.50260601,2.560793662,8.782052353,0.381492245,2.393702092,0.350650739,0.221719548,237.725953,28.50259302,28.5501,3.918252062,62.10785832,1.491891953,1500,1264.500302,87.4593,99.9726,24.1638,19.439,1000,28.4992,28.5501,100
99,5883.5,0.005354919,13.4046992,87.4784,25.97200695,2.607868697,8.783771753,0.383519922,2.403420287,0.352479087,0.222878589,237.7260626,28.39633475,28.4134,3.887261718,62.08972098,1.477624621,1500,1264.500347,87.4784,99.9643,23.9978,19.294,999.994,28.3852,28.4134,100
100,5943.5,0.005412453,13.40430207,87.5226,26.12687834,2.623134692,8.787255999,0.384409258,2.399816821,0.353187816,0.223335811,237.7261096,28.28657765,28.3134,3.864726998,61.49742705,1.490782561,1500,1264.500045,87.5226,100.013,23.6449,18.8888,999.985,28.2934,28.3134,100
101,6003.5,0.005399662,13.42247229,87.5003,25.47699275,2.557975726,8.785324296,0.380682354,2.400929679,0.350050514,0.221327957,237.726,28.27087406,28.3196,3.86612083,61.34693969,1.500697944,1500,1264.5,87.5003,100.006,23.5592,18.8139,999.98,28.2737,28.3196,100
102,6063.5,0.005416421,13.44622746,87.4699,25.17919422,2.528135779,8.782480562,0.379631656,2.401051893,0.349162845,0.220760139,237.7259582,28.3026411,28.3882,3.881572194,61.39890703,1.509044659,1500,1264.500518,87.4699,99.9974,23.6294,18.87,1000.04,28.3107,28.3882,100
103,6123.5,0.005405904,13.4803132,87.4389,24.71015554,2.480859957,8.778725221,0.377682242,2.405237492,0.347560246,0.219730952,237.7245248,28.34802258,28.4663,3.89922887,61.61025905,1.512698782,1499.99,1264.491615,87.4389,99.9967,23.7706,19.0209,999.992,28.3528,28.4663,100
104,6183.5,0.005415284,13.57540005,87.363,24.22247999,2.43171177,8.770432899,0.377819974,2.402458237,0.347645055,0.219788079,237.7244152,28.39998977,28.5496,3.918138319,61.85281225,1.514554014,1499.99,1264.49157,87.363,100.007,23.9423,19.1851,999.972,28.4077,28.5496,100
105,6243.5,0.00543387,13.6438069,87.3194,24.16938693,2.426427595,8.766221596,0.379722546,2.407541448,0.349314891,0.220850543,237.7239141,28.45791335,28.6248,3.935277677,62.12325478,1.512232001,1499.99,1264.491044,87.3194,100.026,24.1357,19.3632,999.989,28.4714,28.6248,100
106,6303.5,0.005455613,13.72759137,87.2193,24.17604102,2.427183689,8.756490037,0.38302952,2.396506367,0.351983005,0.222568701,237.726,28.49827193,28.6634,3.944100641,62.32147416,1.506650535,1500,1264.5,87.2193,100.002,24.2783,19.4876,1000.03,28.5186,28.6634,100
107,6363.5,0.005513274,13.81959131,87.1545,25.63507197,2.573559811,8.749627027,0.396186564,2.4007467,0.363122502,0.22969185,237.7261096,28.39129914,28.479,3.90210667,62.34756519,1.476210848,1500,1264.500045,87.1545,100.025,24.1642,19.322,999.968,28.4296,28.479,100
108,6423.5,0.005681015,13.81878299,87.1566,27.50518379,2.761293508,8.749803511,0.410101668,2.3952008,0.374710796,0.237118941,237.7275848,28.16332616,28.2044,3.840294032,61.41312627,1.47500419,1500.01,1264.50843,87.1566,100.039,23.5606,18.5682,1000.01,28.2542,28.2044,100
109,6483.5,0.005706635,13.87367275,87.0333,27.30599873,2.740948928,8.736315882,0.411182259,2.401801522,0.375702017,0.237745868,237.7276945,28.00734584,28.0015,3.795171531,60.67820398,1.478263536,1500.01,1264.508475,87.0333,99.9668,23.0816,18.0641,999.985,28.106,28.0015,100
110,6543.5,0.005797326,13.94665396,87.0007,27.54733409,2.76510465,8.73282472,0.415776617,2.396982225,0.379470398,0.240166219,237.7276945,27.89808845,27.9204,3.777265686,60.25932535,1.487146,1500.01,1264.508475,87.0007,100.007,22.8153,17.7166,999.971,28.0253,27.9204,100
111,6603.5,0.005784335,13.99458811,86.9333,26.66312718,2.676357385,8.726079947,0.410956633,2.405008361,0.375556426,0.237648697,237.7256451,27.88141216,27.9221,3.777640267,60.02131967,1.499369664,1500,1264.498785,86.9333,99.9814,22.6972,17.6093,999.969,28.0042,27.9221,100
112,6663.5,0.00579761,14.00234766,86.9249,26.54872008,2.664612893,8.724383267,0.410484035,2.401037867,0.375108433,0.23736655,237.7262192,27.89958636,27.9636,3.786794499,60.05245153,1.50435069,1500,1264.50009,86.9249,99.9806,22.741,17.6418,999.998,28.0267,27.9636,100
113,6723.5,0.005822406,14.04915495,86.8527,26.20340383,2.629862831,8.716832705,0.409959325,2.399252791,0.374646108,0.237072565,237.726,27.93395309,28.017,3.79860215,60.00163998,1.512474329,1500,1264.5,86.8527,99.9518,22.7785,17.6578,1000.02,28.0689,28.017,100
114,6783.5,0.005807444,14.1206072,86.8196,25.8056794,2.589951711,8.713530385,0.409479434,2.396098743,0.374202937,0.236792515,237.7262192,28.00168029,28.0877,3.814284535,60.25289542,1.510116199,1500,1264.50009,86.8196,99.9814,22.9582,17.8517,1000.04,28.1321,28.0877,100
115,6843.5,0.00582996,14.16814427,86.7683,25.73862399,2.583140529,8.708107803,0.410773301,2.40158805,0.375357491,0.237525425,237.7243107,28.07321884,28.1773,3.83424037,60.47645095,1.51095559,1499.99,1264.491741,86.7683,99.9749,23.1494,18.0239,1000,28.2104,28.1773,100
116,6903.5,0.005906812,14.19757933,86.7198,26.45396456,2.654787852,8.702766309,0.417618524,2.394239618,0.380967068,0.241128781,237.7255563,28.07678404,28.1705,3.832722678,60.40885676,1.508249782,1500,1264.499604,86.7198,99.9589,23.1625,17.9694,999.98,28.2384,28.1705,100
117,6963.5,0.005868374,14.24189311,86.691,27.11185533,2.720701333,8.699527067,0.424072148,2.404138133,0.386474559,0.244646211,237.7276945,27.99728659,28.0307,3.801636626,60.73116869,1.477256982,1500.01,1264.508475,86.691,99.9663,23.1625,18.0034,1000.02,28.1463,28.0307,100
118,7023.5,0.005992051,14.23714534,86.7032,27.97687484,2.807739687,8.701472807,0.43097666,2.399479212,0.392136663,0.248282686,237.7271934,27.81184851,27.8457,3.760838137,59.90834576,1.487438968,1500.01,1264.507948,86.7032,99.9845,22.6526,17.3818,999.978,27.9998,27.8457,100
119,7083.5,0.006046113,14.295725,86.6821,27.75257691,2.785001871,8.698644865,0.431322197,2.398783952,0.392412714,0.248460648,237.7275274,27.71198702,27.8062,3.752176772,59.63917596,1.499906516,1500.01,1264.508299,86.6821,100.02,22.4439,17.1245,999.995,27.9169,27.8062,100
